DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD,stationID
2024-02-28 00:00:00,13.8,21,,,,,1,29,75,263,59t
2024-02-28 01:00:00,22.8,29,41.0,,,,1,28,87,236,59t
2024-02-28 02:00:00,22.5,31,39.0,,,,1,28,98,237,59t
2024-02-28 03:00:00,17.7,26,37.0,,,,1,28,99,258,59t
2024-02-28 04:00:00,20.5,25,35.0,,,,0,28,99,242,59t
2024-02-28 05:00:00,15.9,28,31.0,,,,0,28,99,276,59t
2024-02-28 06:00:00,19.1,38,28.0,,,,0,28,99,246,59t
2024-02-28 07:00:00,13.4,50,24.0,,,,0,28,99,273,59t
2024-02-28 08:00:00,14.8,39,27.0,,,,0,30,86,271,59t
2024-02-28 09:00:00,20.3,44,30.0,,,,1,30,74,285,59t
2024-02-28 10:00:00,19.7,57,43.0,,,,1,31,65,272,59t
2024-02-28 11:00:00,22.0,37,55.0,,,,0,32,58,281,59t
2024-02-28 12:00:00,20.7,36,58.0,,,,1,32,58,259,59t
2024-02-28 13:00:00,25.2,41,69.0,,,,1,34,52,268,59t
2024-02-28 14:00:00,22.6,38,67.0,,,,1,34,52,229,59t
2024-02-28 15:00:00,14.8,33,65.0,,,,1,34,52,251,59t
2024-02-28 16:00:00,12.9,19,46.0,,,,1,33,55,263,59t
2024-02-28 17:00:00,15.7,25,44.0,,,,1,31,60,262,59t
2024-02-28 18:00:00,17.3,28,37.0,,,,1,30,66,266,59t
2024-02-28 19:00:00,19.5,27,34.0,,,,1,29,76,229,59t
2024-02-28 20:00:00,9.2,18,33.0,,,,1,29,88,245,59t
2024-02-28 21:00:00,9.7,28,31.0,,,,1,28,96,242,59t
2024-02-28 22:00:00,8.6,43,31.0,,,,1,28,99,255,59t
2024-02-28 23:00:00,18.7,54,32.0,,,,1,28,99,254,59t
