DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
2024-01-01 00:00:00,18.1,34.0,27.0,0.5,4.0,0.0,3,25,69,29
2024-01-01 01:00:00,15.4,30.0,23.0,0.49,4.0,0.0,2,24,75,30
2024-01-01 02:00:00,13.9,27.0,22.0,0.48,3.0,0.0,2,24,79,22
2024-01-01 03:00:00,7.9,19.0,25.0,0.43,2.0,0.0,2,23,81,45
2024-01-01 04:00:00,6.2,14.0,25.0,0.41,2.0,0.0,3,23,83,54
2024-01-01 05:00:00,5.6,13.0,24.0,0.4,2.0,0.0,2,22,85,56
2024-01-01 06:00:00,5.4,13.0,23.0,0.41,2.0,0.0,3,22,87,57
2024-01-01 07:00:00,5.9,13.0,26.0,0.42,1.0,0.0,3,22,84,58
2024-01-01 08:00:00,5.9,12.0,31.0,0.4,1.0,0.0,4,24,75,60
2024-01-01 09:00:00,6.3,14.0,33.0,0.4,1.0,0.0,3,26,68,65
2024-01-01 10:00:00,6.4,14.0,36.0,0.39,1.0,0.0,2,28,61,38
2024-01-01 11:00:00,5.9,14.0,39.0,0.39,1.0,0.0,2,30,52,23
2024-01-01 12:00:00,5.1,14.0,46.40104849279161,0.34007208387942334,3.677588466579292,0.44495412844036697,3,32,45,357
2024-01-01 13:00:00,4.5,13.0,41.0,0.37,1.0,0.0,3,32,41,350
2024-01-01 14:00:00,4.9,12.0,42.0,0.36,1.0,0.0,3,33,40,7
2024-01-01 15:00:00,5.3,14.0,43.0,0.35,1.0,0.0,3,33,39,14
2024-01-01 16:00:00,5.4,14.0,44.0,0.37,1.0,0.0,2,33,38,352
2024-01-01 17:00:00,6.3,18.0,42.0,0.37,1.0,0.0,2,31,43,27
2024-01-01 18:00:00,11.8,27.0,37.0,0.42,3.0,0.0,1,30,48,41
2024-01-01 19:00:00,14.0,31.0,35.0,0.43,3.0,0.0,1,29,50,41
2024-01-01 20:00:00,13.2,27.0,33.0,0.42,4.0,0.0,1,28,52,53
2024-01-01 21:00:00,22.4,38.0,29.0,0.53,6.0,0.0,2,27,55,7
2024-01-01 22:00:00,46.5,70.0,26.0,0.64,8.0,1.0,2,27,57,3
2024-01-01 23:00:00,25.7,41.0,29.0,0.49,5.0,1.0,2,26,57,17
2024-01-02 00:00:00,17.9,32.0,29.0,0.46,4.0,1.0,2,25,60,32
2024-01-02 01:00:00,22.7,38.0,27.0,0.48,4.0,0.0,2,24,66,53
2024-01-02 02:00:00,16.3,29.0,26.0,0.44,3.0,0.0,3,23,73,55
2024-01-02 03:00:00,14.2,25.0,27.0,0.42,2.0,0.0,3,23,76,64
2024-01-02 04:00:00,14.4,25.0,24.0,0.42,2.0,0.0,2,22,80,64
2024-01-02 05:00:00,15.2,25.0,24.0,0.43,2.0,0.0,3,22,83,60
2024-01-02 06:00:00,16.0,25.0,25.0,0.42,2.0,0.0,3,22,84,64
2024-01-02 07:00:00,15.5,25.0,28.0,0.43,2.0,0.0,3,22,82,61
2024-01-02 08:00:00,14.2,24.0,33.0,0.4,2.0,0.0,3,24,74,61
2024-01-02 09:00:00,13.7,25.0,36.0,0.43,2.0,0.0,3,26,66,57
2024-01-02 10:00:00,12.2,25.0,41.0,0.42,2.0,0.0,3,29,55,49
2024-01-02 11:00:00,10.1,22.0,46.40104849279161,0.34007208387942334,3.677588466579292,0.44495412844036697,3,31,47,5
2024-01-02 12:00:00,8.7,21.0,47.0,0.39,1.0,0.0,3,32,39,354
2024-01-02 13:00:00,7.8,20.0,51.0,0.37,1.0,0.0,3,33,35,1
2024-01-02 14:00:00,8.2,18.0,52.0,0.35,1.0,0.0,3,32,36,7
2024-01-02 15:00:00,8.2,21.0,52.0,0.34,1.0,0.0,2,32,35,4
2024-01-02 16:00:00,8.3,21.0,53.0,0.35,1.0,0.0,2,32,34,340
2024-01-02 17:00:00,8.7,24.0,49.0,0.36,2.0,0.0,2,31,37,50
2024-01-02 18:00:00,11.3,25.0,41.0,0.39,5.0,0.0,1,29,42,68
2024-01-02 19:00:00,14.6,34.0,41.0,0.42,3.0,0.0,2,29,44,62
