DATETIMEDATA,PM25,WS,TEMP,RH,WD
2023-12-01 00:00:00,27.1,0,28,59,21
2023-12-01 01:00:00,28.4,0,28,62,48
2023-12-01 02:00:00,28.3,0,27,64,37
2023-12-01 03:00:00,23.9,0,27,67,33
2023-12-01 04:00:00,24.1,0,26,71,31
2023-12-01 05:00:00,28.4,0,26,73,26
2023-12-01 06:00:00,28.0,0,26,73,30
2023-12-01 07:00:00,22.9,0,27,69,33
2023-12-01 08:00:00,23.3,1,30,59,149
2023-12-01 09:00:00,14.1,0,31,56,89
2023-12-01 10:00:00,11.0,0,32,51,49
2023-12-01 11:00:00,10.2,1,32,51,45
2023-12-01 12:00:00,11.7,1,33,50,44
2023-12-01 13:00:00,11.0,0,33,47,128
2023-12-01 14:00:00,3.1,0,32,49,79
2023-12-01 15:00:00,5.3,0,32,49,110
2023-12-01 16:00:00,12.6,0,31,52,132
2023-12-01 17:00:00,11.6,0,30,55,53
2023-12-01 18:00:00,10.1,0,30,60,13
2023-12-01 19:00:00,18.0,0,29,63,15
2023-12-01 20:00:00,22.8,0,29,64,16
2023-12-01 21:00:00,12.9,1,28,67,8
2023-12-01 22:00:00,13.8,1,28,69,5
2023-12-01 23:00:00,15.1,0,28,70,8
2023-12-02 00:00:00,25.3,0,28,73,85
2023-12-02 01:00:00,18.3,0,26,99,64
2023-12-02 02:00:00,7.5,0,26,99,25
2023-12-02 03:00:00,5.2,0,26,99,25
2023-12-02 04:00:00,7.1,0,26,99,26
2023-12-02 05:00:00,10.3,0,26,99,47
2023-12-02 06:00:00,6.7,0,26,99,32
2023-12-02 07:00:00,8.6,0,26,99,73
2023-12-02 08:00:00,11.7,0,28,81,129
2023-12-02 09:00:00,12.5,0,29,70,83
2023-12-02 10:00:00,12.5,0,29,66,86
2023-12-02 11:00:00,8.7,0,30,61,118
2023-12-02 12:00:00,6.1,0,31,58,76
2023-12-02 13:00:00,7.6,0,32,55,120
2023-12-02 14:00:00,9.8,0,32,53,142
2023-12-02 15:00:00,9.5,0,31,55,81
2023-12-02 16:00:00,10.0,0,31,55,93
2023-12-02 17:00:00,8.8,0,30,58,63
2023-12-02 18:00:00,8.1,0,29,62,18
2023-12-02 19:00:00,12.4,0,29,66,19
2023-12-02 20:00:00,9.5,0,28,70,17
2023-12-02 21:00:00,15.2,0,28,71,14
2023-12-02 22:00:00,10.6,0,28,72,25
2023-12-02 23:00:00,12.0,0,28,75,54
2023-12-03 00:00:00,15.0,0,28,76,32
2023-12-03 01:00:00,28.6,0,28,73,47
2023-12-03 02:00:00,24.3,0,28,71,34
2023-12-03 03:00:00,16.4,0,27,68,59
2023-12-03 04:00:00,14.2,0,27,70,31
2023-12-03 05:00:00,10.8,0,27,70,57
2023-12-03 06:00:00,13.4,0,26,73,31
2023-12-03 07:00:00,10.0,0,27,72,33
2023-12-03 08:00:00,7.8,0,29,65,95
2023-12-03 09:00:00,14.4,0,30,62,58
2023-12-03 10:00:00,5.3,0,30,58,100
2023-12-03 11:00:00,7.6,1,32,52,148
2023-12-03 12:00:00,5.1,1,32,51,39
2023-12-03 13:00:00,8.3,0,33,49,52
2023-12-03 14:00:00,7.7,0,33,49,77
2023-12-03 15:00:00,3.9,0,32,52,146
2023-12-03 16:00:00,7.4,0,32,53,132
2023-12-03 17:00:00,11.5,0,31,57,147
2023-12-03 18:00:00,10.3,0,31,59,135
2023-12-03 19:00:00,8.2,0,30,59,51
2023-12-03 20:00:00,11.1,0,29,75,167
2023-12-03 21:00:00,7.7,0,25,99,4
2023-12-03 22:00:00,7.5,0,26,99,342
2023-12-03 23:00:00,10.3,0,25,99,67
2023-12-04 00:00:00,13.1,0,25,99,169
2023-12-04 01:00:00,18.6,0,25,99,33
2023-12-04 02:00:00,23.6,0,24,99,25
2023-12-04 03:00:00,12.3,0,24,99,23
2023-12-04 04:00:00,17.9,0,24,99,20
2023-12-04 05:00:00,15.1,0,24,99,7
2023-12-04 06:00:00,21.6,0,24,99,29
2023-12-04 07:00:00,17.8,0,25,99,11
2023-12-04 08:00:00,15.1,0,27,91,101
2023-12-04 09:00:00,15.1,0,29,70,121
2023-12-04 10:00:00,7.8,1,29,65,126
2023-12-04 11:00:00,11.4,0,30,62,64
2023-12-04 12:00:00,10.8,0,31,60,79
2023-12-04 13:00:00,17.4,0,31,61,52
2023-12-04 14:00:00,12.3,0,31,60,132
2023-12-04 15:00:00,9.8,0,31,60,97
2023-12-04 16:00:00,9.8,0,30,62,134
2023-12-04 17:00:00,5.2,0,29,65,155
