DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD,stationID
2024-02-29 00:00:00,41.1,60.0,45.0,0.35,4.0,1.0,2,29,54,178,101t
2024-02-29 01:00:00,37.9,58.0,44.0,0.32,4.0,1.0,3,29,54,179,101t
2024-02-29 02:00:00,37.5,58.0,45.0,0.34,4.0,1.0,2,29,54,180,101t
2024-02-29 03:00:00,37.2,57.0,40.0,0.34,4.0,1.0,2,28,58,178,101t
2024-02-29 04:00:00,38.3,59.0,34.0,0.34,6.0,1.0,1,27,61,221,101t
2024-02-29 05:00:00,41.0,62.0,32.0,0.36,5.0,1.0,1,27,64,286,101t
2024-02-29 06:00:00,42.1,67.0,29.0,0.38,6.0,1.0,1,27,66,317,101t
2024-02-29 07:00:00,51.1,83.0,23.0,0.45,9.0,1.0,1,27,66,154,101t
2024-02-29 08:00:00,36.9,56.0,38.0,0.28,5.0,1.0,2,30,61,187,101t
2024-02-29 09:00:00,33.9,56.0,,,,,2,32,55,275,101t
2024-02-29 10:00:00,,,58.0,0.26,3.0,1.0,2,30,49,241,101t
2024-02-29 11:00:00,31.9,50.0,60.0,0.27,3.0,1.0,2,34,47,206,101t
2024-02-29 12:00:00,32.6,51.0,63.0,0.29,3.0,1.0,1,34,46,259,101t
2024-02-29 13:00:00,37.3,59.0,64.0,0.31,2.0,0.0,1,35,43,222,101t
2024-02-29 14:00:00,46.7,69.0,65.0,0.38,3.0,0.0,2,36,38,180,101t
2024-02-29 15:00:00,48.7,68.0,69.0,0.41,3.0,0.0,1,36,37,180,101t
2024-02-29 16:00:00,45.7,65.0,72.0,0.38,3.0,0.0,2,36,33,181,101t
2024-02-29 17:00:00,44.5,65.0,70.0,0.37,4.0,0.0,1,36,36,155,101t
2024-02-29 18:00:00,47.7,73.0,58.0,0.38,8.0,0.0,1,34,40,223,101t
2024-02-29 19:00:00,53.8,83.0,55.0,0.46,7.0,1.0,1,33,43,233,101t
2024-02-29 20:00:00,48.0,75.0,54.0,0.35,6.0,0.0,1,33,43,188,101t
2024-02-29 21:00:00,51.9,77.0,52.0,0.4,5.0,1.0,1,32,46,185,101t
2024-02-29 22:00:00,52.5,79.0,,,,,2,31,48,180,101t
2024-02-29 23:00:00,53.1,86.0,44.0,0.37,5.0,1.0,2,30,57,184,101t
