DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
2024-01-01 00:00:00,14.6,40.0,5.0,0.84,25.0,1.0,0,27,79,327
2024-01-01 01:00:00,18.0,40.0,1.0,0.71,9.546536039188243,0.1898376852505293,0,26,82,336
2024-01-01 02:00:00,29.6,49.0,8.0,0.41,12.0,0.0,0,25,85,349
2024-01-01 03:00:00,30.6,46.0,10.0,0.32,7.0,0.0,0,25,86,351
2024-01-01 04:00:00,27.2,40.0,10.0,0.25,5.0,0.0,0,25,84,17
2024-01-01 05:00:00,23.3,41.0,10.0,0.26,6.0,0.0,0,24,85,349
2024-01-01 06:00:00,18.7,37.0,8.0,0.35,10.0,0.0,0,24,86,359
2024-01-01 07:00:00,21.8,35.0,8.0,0.34,9.0,0.0,0,25,82,7
2024-01-01 08:00:00,29.3,39.0,21.0,0.23,5.0,0.0,1,29,65,33
2024-01-01 09:00:00,28.7,48.0,26.0,0.22,4.0,0.0,2,30,58,30
2024-01-01 10:00:00,29.8,41.0,28.0,0.23,6.0,0.0,1,31,54,23
2024-01-01 11:00:00,25.3,36.0,30.0,0.25,5.0,0.0,2,33,52,27
2024-01-01 12:00:00,19.1,32.0,31.0,0.23,5.0,0.0,2,33,50,26
2024-01-01 13:00:00,18.1,28.0,29.0,0.21,6.0,0.0,2,33,47,19
2024-01-01 14:00:00,16.3,34.0,29.0,0.18,5.0,0.0,2,34,43,28
2024-01-01 15:00:00,13.3,31.0,28.0,0.2,6.0,0.0,2,34,42,36
2024-01-01 16:00:00,10.7,23.0,26.0,0.4017986577181208,7.0,0.1898376852505293,2,34,43,34
2024-01-01 17:00:00,8.5,19.0,20.0,0.29,9.546536039188243,0.0,1,32,48,26
2024-01-01 18:00:00,6.4,16.0,15.524798927613942,0.37,17.0,0.0,1,31,53,32
2024-01-01 19:00:00,4.8,23.0,13.0,0.4,18.0,0.0,1,30,57,53
2024-01-01 20:00:00,3.8,25.0,17.0,0.39,15.0,0.0,1,29,65,142
2024-01-01 21:00:00,7.2,29.0,17.0,0.49,17.0,0.0,0,28,79,201
2024-01-01 22:00:00,15.7,33.0,17.0,0.47,13.0,0.0,0,28,85,146
2024-01-01 23:00:00,18.9,36.0,4.0,0.71,24.0,0.0,0,27,84,335
2024-01-02 00:00:00,18.3,37.0,4.0,0.57,21.0,0.0,0,26,82,340
2024-01-02 01:00:00,16.4,40.0,9.0,0.39,9.546536039188243,0.1898376852505293,0,25,81,352
2024-01-02 02:00:00,13.2,35.0,10.0,0.29,6.0,0.0,0,25,81,353
2024-01-02 03:00:00,13.8,31.0,10.0,0.26,6.0,0.0,0,24,80,345
2024-01-02 04:00:00,12.3,25.0,10.0,0.26,5.0,0.0,0,24,80,350
2024-01-02 05:00:00,9.2,22.0,9.0,0.28,8.0,0.0,0,24,82,347
2024-01-02 06:00:00,6.9,21.0,5.0,0.43,10.0,0.0,0,23,85,357
2024-01-02 07:00:00,11.1,29.0,5.0,0.59,13.0,0.0,0,24,81,355
2024-01-02 08:00:00,20.4,37.0,13.0,0.49,14.0,0.0,0,27,71,347
2024-01-02 09:00:00,32.1,40.0,23.0,0.31,10.0,0.0,1,30,60,16
2024-01-02 10:00:00,29.2,40.0,28.0,0.27,8.0,0.0,1,32,49,25
2024-01-02 11:00:00,24.1,37.0,31.0,0.26,9.0,0.0,1,33,46,10
2024-01-02 12:00:00,20.3,32.0,34.0,0.28,8.0,0.0,2,33,46,14
2024-01-02 13:00:00,17.7,32.0,34.0,0.26,6.0,0.0,2,34,43,38
2024-01-02 14:00:00,14.1,31.0,34.0,0.28,6.0,0.0,2,34,40,35
2024-01-02 15:00:00,10.5,30.0,32.0,0.4017986577181208,11.0,0.1898376852505293,2,35,40,31
2024-01-02 16:00:00,13.9,30.0,30.0,0.37,9.546536039188243,0.0,1,34,41,25
2024-01-02 17:00:00,12.6,32.0,15.524798927613942,0.39,16.0,0.0,1,32,48,28
2024-01-02 18:00:00,11.8,26.0,21.0,0.46,19.0,0.0,1,31,57,50
2024-01-02 19:00:00,10.2,38.0,13.0,0.62,28.0,0.0,0,29,70,256
2024-01-02 20:00:00,15.2,47.0,15.0,0.64,20.0,0.1898376852505293,0,28,79,170
2024-01-02 21:00:00,17.2,45.0,5.0,0.86,29.0,0.1898376852505293,0,27,80,345
2024-01-02 22:00:00,20.2,45.0,12.0,0.5,17.0,0.1898376852505293,0,27,80,14
2024-01-02 23:00:00,20.6,44.0,4.0,0.63,25.0,0.1898376852505293,0,26,82,347
2024-01-03 00:00:00,22.0,45.0,4.0,0.53,19.0,0.1898376852505293,0,25,80,333
2024-01-03 01:00:00,21.8,46.0,9.0,0.34,9.546536039188243,0.1898376852505293,0,25,79,336
2024-01-03 02:00:00,22.5,42.0,12.0,0.3,9.0,0.1898376852505293,0,24,79,344
2024-01-03 03:00:00,21.0,37.0,7.0,0.32,12.0,0.1898376852505293,0,24,83,328
2024-01-03 04:00:00,16.4,30.0,8.0,0.33,10.0,0.1898376852505293,0,24,83,337
2024-01-03 05:00:00,12.5,30.0,11.0,0.31,10.0,0.1898376852505293,0,24,79,348
2024-01-03 06:00:00,14.2,31.0,12.0,0.33,12.0,0.1898376852505293,0,24,76,360
2024-01-03 07:00:00,15.7,39.0,10.0,0.43,17.0,0.1898376852505293,0,25,71,356
